objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
40282,Buddha Amitabha descending from his Pure Land,Unidentified artist,13th century,China,China,1300's,Asian Art,2657,4000,0.66425,RGB
40284,Narcissus,Zhao Mengjian,mid-13th century,China,China,1300's,Asian Art,4000,3001,1.332889037,RGB
40303,Six Horses,Unidentified artists,13th–14th century,China,China,1300's,Asian Art,3821,2472,1.545711974,RGB
40336,Shiraito Waterfall at Hakone,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,4000,2826,1.415428167,RGB
40337,Koyurugi Beach of Sagami Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,4000,2808,1.424501425,RGB
40338,Kannon Slope of the Kiso Highway,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,4000,2805,1.426024955,RGB
40339,Shibaura Bay of Musashi Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,2000,1396,1.432664756,RGB
40340,Mt. Nokogiri Seen from a Distance,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,2000,1651,1.211387038,RGB
40341,Honmoku Bay of Musashi Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art,4000,3337,1.19868145,RGB
40351,Bellflowers in Basket,Ogata Kenzan,18th century,Japan,Japan,1800's,Asian Art,1755,1338,1.311659193,RGB
40352,Three Beauties Playing Musical Instruments,Utagawa Kuniyoshi,19th century,Japan,Japan,1900's,Asian Art,925,651,1.420890937,RGB
40353,Mynah Birds Attacking an Owl,Sesson Shūkei,probably 19th century,Japan,Japan,1900's,Asian Art,3834,3208,1.195137157,RGB
40354,Camellia by Water,Ogata Kenzan,dated 1741,Japan,Japan,1700's,Asian Art,1807,1437,1.257480863,RGB
40393,The Pleasures of Fishes,Zhou Dongqing,dated 1291,China,China,1200's,Asian Art,3868,2107,1.835785477,RGB
40418,Landscape with Palace,Unavailable,Unavailable,China,China,Unavailable,Asian Art,2811,4000,0.70275,RGB
40420,Lȕ Dongbin and the Spirit of the Peony,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art,426,700,0.608571429,RGB
40427,Birds Pursued by an Eagle,Unavailable,late 17th century,Japan,Japan,1700's,Asian Art,329,546,0.602564103,RGB
40428,Examining the Hanging Picture,Unidentified artist,ca. 1650,Korea,Korea,1600's,Asian Art,500,710,0.704225352,RGB
40429,Pavilion by the Lake,Samoje,late 18th century,Korea,Korea,1800's,Asian Art,553,900,0.614444444,RGB
40430,The Wise Men and Scrolls,Unidentified artist,19th century,Korea,Korea,1900's,Asian Art,493,900,0.547777778,RGB
40431,Wise Men and Children,Unidentified artist,19th century,Korea,Korea,1900's,Asian Art,510,900,0.566666667,RGB
40432,Scholar in a Lakeside Pavilion,Samoje,late 18th century,Korea,Korea,1800's,Asian Art,543,900,0.603333333,RGB
