objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
41484,"Lofty Scholar among Streams and Mountains, in the manner of Juran",Wang Jian,late 17th century,China,China,1700's,Asian Art
41485,Travelers among Streams and Mountains,Wu Li,probably 1670s,China,China,1600's,Asian Art
41487,Landscape in the Styles of Huang Gongwang and Gao Kegong,Wang Yuanqi,dated 1705,China,China,1700's,Asian Art
41488,The Strange Pines of Mount Tiantai,Dai Benxiao,1687,China,China,1600's,Asian Art
41491,Fish and rocks,Bada Shanren (Zhu Da),dated 1699,China,China,1600's,Asian Art
41492,"Hibiscus, Lotus, and Rock",Shitao (Zhu Ruoji),ca. 1705–7,China,China,1700's,Asian Art
42187,River Landscape,Chen Chun,Unavailable,China,China,Unavailable,Asian Art
42328,Spring Dawn Over the Elixir Terrace,Lu Guang,ca. 1369,China,China,1300's,Asian Art
42343,Zen Encounter (Niaoke Daolin and Bai Juyi),Kenkō Shōkei,16th century,Japan,Japan,1600's,Asian Art
42346,Landscape with Pavilion,Kenkō Shōkei 賢江祥啓,1478–80,Japan,Japan,1400's,Asian Art
42347,Eight Views of the Xiao and Xiang Rivers,Unavailable,16th century,Japan,Japan,1600's,Asian Art
42558,Portraits of members of a family,Unidentified artist,mid-19th century,China,China,1900's,Asian Art
42559,Miniature Album,Prince Yongxing,Unavailable,China,China,Unavailable,Asian Art
42616,Preliminary Drawing of Three Deer Mounted on a Hanging-scroll Painting of Flowering Bush Clover,Ogata Kōrin,early 18th century (drawing); early 19th century (painting),Japan,Japan,1800's,Asian Art
42634,Flowers and Goldfish,Sō Shizan,18th century,Japan,Japan,1800's,Asian Art
42889,Twenty-one Ancestors with Spirit Tablet,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
44100,Bodhisattva Guanyin Riding a White Lotus Petal,Unavailable,17th–18th century,China,China,1700's,Asian Art
44282,The Four Deities of Mount Kōya,Unavailable,late 14th century,Japan,Japan,1400's,Asian Art
44286,Rakan,Unavailable,Unavailable,Japan,Japan,Unavailable,Asian Art
44297,Sketch for a Painting of Mi Fu Inscribing a Poem on a Rock,Kano Tan'yū,dated 1666,Japan,Japan,1600's,Asian Art
44506,Ten Kings of Hell,Jin Chushi,before 1195,China,China,1100's,Asian Art
44527,Winter Landscapes and Flowers,Qian Weicheng,Unavailable,China,China,Unavailable,Asian Art
44569,Clouds and Spring Trees at Dusk,Gu Yun,dated 1888,China,China,1800's,Asian Art
44590,Bamboo in Wind,Xia Chang,ca. 1460,China,China,1400's,Asian Art
44591,Landscapes in the styles of ancient masters,Wang Jian,17th century,China,China,1700's,Asian Art
44601,The Cassia Grove Studio,Wen Zhengming,ca. 1532,China,China,1500's,Asian Art
44602,Welcoming Descent of Amida Buddha and Twenty-five Bodhisattvas,Unavailable,1668,Japan,Japan,1600's,Asian Art
